diam	0s	2s	5s	7s	10s	20s	30s	60s	120s	180s	240s	300s
50.2785632197042	7.49331702703573E-4	0.00233417156995645	-0.00194957280548846	3.36779728935143E-4	-0.00190742357997182	-0.0028308054087384	-0.0033877530584413	-0.00307235052830229	-4.32298421228759E-4	4.95375139466653E-4	-3.95926126534203E-4	-0.00161882497374627
50.3162542349068	8.85966082275243E-4	0.00234096327028803	-0.00196009776214938	3.13675389177689E-4	-0.00189725719808995	-0.00290745904688475	-0.00338871896408427	-0.0030276729210182	-3.88198179600052E-4	4.87981480668643E-4	-4.19949293966003E-4	-0.00159871088487789
50.3539702454129	0.00101397092208449	0.00230754810465666	-0.00195378278815283	3.10685415797311E-4	-0.00188849307577801	-0.0029797420828561	-0.00338163565603582	-0.00299309367702437	-3.13343822098697E-4	4.54299257255488E-4	-4.44884733578755E-4	-0.00162169841501318
50.3918245370684	0.00117361740768928	0.00225022615385814	-0.00193273287483102	3.09598152749902E-4	-0.0018934009842727	-0.00303286170929086	-0.0033729425052491	-0.00298207728070775	-2.38489464597341E-4	3.98709896663043E-4	-4.7620607845819E-4	-0.00166814040948964
50.4295904618733	0.00132607261015873	0.00219562088319227	-0.00189905301351612	3.35420650125881E-4	-0.00192004391610101	-0.00305673192116977	-0.00335845392060456	-0.00299248165500678	-1.83654295730069E-4	3.23404112609241E-4	-5.1178469351541E-4	-0.00172621984109709
50.4673814556381	0.00142962708730778	0.00214943732093754	-0.00185414653176291	3.4656509636183E-4	-0.00196947356594039	-0.00305572332066784	-0.00333656005936391	-0.00301696253571038	-1.63635107095986E-4	2.37144759965794E-4	-5.48579671480571E-4	-0.00179625997197806
50.5053110294917	0.00146846001623868	0.00211439214722661	-0.00180096041743647	3.63961305120384E-4	-0.00204239106357577	-0.00304059431313895	-0.00331273438683734	-0.00305766199988012	-1.84814828404509E-4	1.50611568107606E-4	-5.86895103080655E-4	-0.00187887140840176
50.5431520847494	0.0014382566270702	0.00205136516814957	-0.00175275611592952	3.54991384979255E-4	-0.00214089979836204	-0.00302344810460622	-0.00329631399090685	-0.00311335600348083	-2.38779597765952E-4	7.06505174032043E-5	-6.30684167766464E-4	-0.00195501760197492
50.5810182829467	0.0013951089282581	0.00197855814059506	-0.00172679455616595	3.63961305120384E-4	-0.00223800627357839	-0.00301000009791387	-0.00328279131190528	-0.00318220848045971	-2.94775299307663E-4	4.49096312175407E-6	-6.6899959936655E-4	-0.00198985807733622
50.6190233611597	0.00139367067163102	0.00189651440058961	-0.00172468956483378	3.69397620357434E-4	-0.00229655061062219	-0.00299419869005038	-0.003270878475642	-0.00324922489138583	-3.34813676575829E-4	-3.55990979163432E-5	-6.86940952258652E-4	-0.00197010316862621
50.6569397686895	0.00139798544151223	0.00181501399661068	-0.00173556535338338	3.90599249781923E-4	-0.00229549891594475	-0.00296394067499259	-0.00325993154502168	-0.00330063474086339	-3.57734196896012E-4	-4.60049880765051E-5	-6.69607780820519E-4	-0.0019144302440798
50.6948813934633	0.00134045517642943	0.00174818366534797	-0.00174959862893126	4.14247221063082E-4	-0.00225167830438503	-0.002917545051904	-0.00324962855149666	-0.00332480961055821	-3.6382699343682E-4	-3.55990979163432E-5	-6.19736901595013E-4	-0.00184905945525756
50.7329621991718	0.00122827115951795	0.00171313849163703	-0.00175766776237129	4.32187061345341E-4	-0.00220715656304034	-0.00285602042128654	-0.00322676878461307	-0.00331471124726797	-3.46999269657447E-4	-1.67041920992072E-5	-5.50100125115494E-4	-0.00179123144976096
50.7709541817661	0.00113046970887718	0.00170689012733198	-0.00175065112459735	4.4550603367611E-4	-0.00218507097481424	-0.00278575458631903	-0.00317750759682163	-0.00327676588217738	-3.10732623581208E-4	1.0679729374903E-6	-4.74381534096279E-4	-0.00175351753313275
50.8089714562345	0.00108013072692972	0.00176122372998459	-0.00173170620260771	4.18324457490869E-4	-0.0021763068525023	-0.00272591095653811	-0.00311150404455205	-0.00322351996664704	-2.7475611067358E-4	1.28704430928318E-5	-4.10522481429474E-4	-0.00174777065059893
50.8471282135531	0.00101109440883035	0.00184272413396352	-0.00171767292705984	3.91142881305628E-4	-0.00215947973766337	-0.00270372174549574	-0.00306320876240358	-0.00316262377589683	-2.63150783929182E-4	2.02367179693674E-5	-3.70990686921449E-4	-0.00177686424342641
50.8851959949813	8.51447923225558E-4	0.00189705773661614	-0.00171872542272594	3.63961305120384E-4	-0.00212863002712532	-0.00273061775888044	-0.00306707238497546	-0.00310815381633131	-2.88102236429634E-4	2.07022446344273E-5	-3.64908872381754E-4	-0.00182894536638918
50.923289143241	6.38585942419169E-4	0.00195139133926875	-0.00173135537071902	3.36779728935143E-4	-0.00209602749212487	-0.00278878038782482	-0.00313114412595909	-0.00308581501268926	-3.44388071139956E-4	5.69585566661492E-6	-3.80113408730994E-4	-0.00188282239014377
50.961522077267	4.83254226695587E-4	0.00195003299920244	-0.00175977275370346	3.25091651175491E-4	-0.00207359133900629	-0.00284761541710383	-0.00323642784104276	-0.00311519206953359	-4.18662162304092E-4	-2.54670469709225E-5	-4.0778566488661E-4	-0.00191478942423816
50.9996658822796	4.67433403797814E-4	0.00189705773661614	-0.00181229228744138	3.36779728935143E-4	-0.00206342495712443	-0.00289333863985779	-0.00335459029803268	-0.00319230684374995	-4.92355987131008E-4	-5.91492703840779E-5	-4.43972461397802E-4	-0.00191012008217943
51.0378351294097	6.04067783369484E-4	0.00179844224780164	-0.00188431807419085	3.73203041023368E-4	-0.00207113738475896	-0.00293166545893097	-0.00345601039054446	-0.00329084238858194	-5.39937826783031E-4	-7.99610507044016E-5	-4.96276066439186E-4	-0.0018824632099854
51.0761444662272	8.70145259377471E-4	0.00171694184382271	-0.00195448445193023	4.05820932445657E-4	-0.00208936675916779	-0.0029760438810157	-0.00352974118795779	-0.00337468940499179	-5.35295696085274E-4	-8.51639957844827E-5	-5.53749213839313E-4	-0.00185983486000847
51.1143645205601	0.00118656171733292	0.00165255652467936	-0.00199763677423994	4.4550603367611E-4	-0.00209778031658727	-0.00303252550912356	-0.00357449481608204	-0.00341906100126708	-4.79590127712171E-4	-8.18779252075895E-5	-6.02707820883864E-4	-0.00185372879731629
51.1526100926263	0.0014526391933409	0.00165011151255999	-0.00200360091634778	4.90355634381759E-4	-0.00207394190389877	-0.00309203293873717	-0.00360154017408519	-0.00341202274806479	-3.9458110930947E-4	-7.22935526916509E-5	-6.30075986312494E-4	-0.00185516551794975
51.1909960593104	0.00163098301509761	0.00167537663779346	-0.00198290183491466	5.42272444895571E-4	-0.00201855265088727	-0.00313271315898152	-0.00362214616113521	-0.00335694076648169	-3.0609049288345E-4	-4.81957017944339E-5	-6.25818716134708E-4	-0.00185839813937502
51.2292925896887	0.00173597574887373	0.00173405692865828	-0.00195553694759631	5.81413914602319E-4	-0.00194668684792933	-0.00313674756098921	-0.00363631277723208	-0.0032761538601598	-2.23692672998235E-4	-1.23227646633496E-6	-5.96017824890197E-4	-0.00187240616555121
51.2676147137476	0.0017906295007024	0.0017913788794568	-0.00194080200827105	5.97722860313464E-4	-0.00186465466308951	-0.00311153254844107	-0.00362890750063598	-0.00320179318502259	-1.38103388258314E-4	6.07923056725245E-5	-5.72298748185384E-4	-0.00191119762265452
51.3060775383685	0.00182802417300622	0.00184897249826857	-0.00195308112437544	5.98266491837169E-4	-0.00177000214212051	-0.00308698993622754	-0.00357868040720157	-0.00316231776488803	-4.61311738089749E-5	1.14738630976521E-4	-5.7777238127111E-4	-0.00197800513211021
51.3444507725108	0.00188267792483489	0.00188211599588667	-0.00198535765813555	5.86034782553809E-4	-0.00167605075093645	-0.0030812745333833	-0.00348788527676245	-0.00317180410616068	2.49514525004517E-5	1.43765587739078E-4	-6.18520538687074E-4	-0.0020627716494841
51.3828496766138	0.00194739947305305	0.00186989093528983	-0.00201342420923129	5.54232338417076E-4	-0.00161435132986035	-0.00309136053840255	-0.00338453337296473	-0.00322045985655909	3.39455807273587E-5	1.47051658315972E-4	-6.8116322844594E-4	-0.00214394636527435
51.421389588241	0.00196465855257789	0.00183892078177784	-0.00201868668756175	5.43359707942981E-4	-0.00160663890222584	-0.00311052394793914	-0.00329856777074045	-0.00327951998125654	-3.80074450878975E-5	1.27061395639871E-4	-7.38940466573053E-4	-0.00219279486681185
51.4598397548637	0.00188267792483489	0.00177779547879364	-0.00199868926990602	5.1291634261551E-4	-0.00164414934572097	-0.00312901495714112	-0.00324157933780526	-0.00332419758854062	-1.61604174915717E-4	8.43424781402594E-5	-7.66308632001683E-4	-0.00219315404697021
51.4983156680613	0.00172590795248424	0.00170689012733198	-0.00197132438258767	4.72687609861352E-4	-0.00169498125513025	-0.00313741996132383	-0.00321195823142087	-0.00334439431512109	-2.78237708696899E-4	2.45907614837509E-5	-7.51104095652443E-4	-0.00215867275176727
51.5369328967678	0.00159934136930206	0.00167809331792609	-0.00195904526648328	4.18868089014574E-4	-0.00173950299647493	-0.00313002355764305	-0.00320326508063415	-0.0033434762820947	-3.44097937971347E-4	-4.38142743585762E-5	-6.93022766798349E-4	-0.00212095883513906
51.5754602255892	0.00157201449338773	0.00167972332600567	-0.00196886855936679	3.91142881305628E-4	-0.0017794673942174	-0.00311119634827376	-0.00320938248303962	-0.00332909376468134	-3.52801933029643E-4	-1.16381666264968E-4	-6.11526451966423E-4	-0.0020976121248454
51.6140133779352	0.00160653265243741	0.00167972332600567	-0.00199588261479644	3.63961305120384E-4	-0.00181066766964792	-0.00308631753589293	-0.00323546193539979	-0.00330491889498652	-3.26109681517533E-4	-1.81829238588091E-4	-5.30638318588467E-4	-0.00208432245898594
51.6527081548017	0.00162235347533519	0.00168651502633724	-0.00204464824732532	3.94132854686003E-4	-0.00182328800577714	-0.00306009392284286	-0.00329180643123967	-0.00327370577208943	-2.90133168609905E-4	-2.13320748283319E-4	-4.65866993740706E-4	-0.00207749803597702
51.691312876546	0.00157489100664187	0.00168298334216482	-0.00212463791794819	4.48224191294633E-4	-0.0018222363110997	-0.00303689611129857	-0.00337680612782098	-0.00324249264919234	-2.61700118086135E-4	-1.91687450318771E-4	-4.22382019781881E-4	-0.00208108983756066
51.7299434991018	0.00146414524635746	0.00168053833004546	-0.00222708082944768	5.13459974139215E-4	-0.00182013292174483	-0.00302613770594469	-0.00347082094373665	-0.00321801176848874	-2.46323060149809E-4	-1.25692199566166E-4	-4.02007941073899E-4	-0.00209833048516213
51.7687160562209	0.00131169004388802	0.00169901175494735	-0.00231478880162189	5.7271581022304E-4	-0.00181031710475544	-0.00303521511046203	-0.00354648355243593	-0.00320791340519849	-2.47483592824248E-4	-4.29927567143529E-5	-4.03528394708823E-4	-0.00212419145656434
51.8073984026228	0.00114916704502909	0.00173405692865828	-0.00235232781371245	6.35777066972802E-4	-0.00178227191335723	-0.00306950752752749	-0.00358544174670237	-0.00321495165840078	-2.70694246313042E-4	3.11902865590115E-5	-4.19645203239017E-4	-0.00214071374384908
51.8461067274613	9.99588355813789E-4	0.00182180569694226	-0.00234285535271765	6.62143195872486E-4	-0.00174230751561476	-0.00312800635663919	-0.00358254402977345	-0.00323484237397245	-3.12473422592866E-4	8.24256036370715E-5	-4.39715191220013E-4	-0.00211628949308033
51.8849572979418	8.6583048949626E-4	0.00189705773661614	-0.0023144379697332	6.62958643158043E-4	-0.00170760159125945	-0.00319870925182419	-0.00355163504919843	-0.00325962926568485	-3.58894729570451E-4	1.1172639961437E-4	-4.65258812286737E-4	-0.00205810230742537
51.9237175017505	7.57961242465995E-4	0.00200572494192137	-0.00228426642730526	6.35777066972802E-4	-0.00167920583496875	-0.00326080542272609	-0.00352072606862341	-0.00328686424546762	-4.00964039018888E-4	1.34455054437881E-4	-4.94147431350292E-4	-0.00199201315828641
51.9625037619609	7.2056657016217E-4	0.0020872253459003	-0.00225128822976777	6.08595490787561E-4	-0.00165221233824796	-0.00329442543945694	-0.00351525260331326	-0.00331134512617122	-4.24754958844899E-4	1.68684956280519E-4	-5.27901502045603E-4	-0.00195465842181655
52.0014325799322	7.69467295482557E-4	0.00214672064080491	-0.00221690670467548	5.87665677124924E-4	-0.00163713804787141	-0.0032961064402935	-0.00354294189841171	-0.00332174950047025	-4.23304293001849E-4	2.11677712994872E-4	-5.68649659461567E-4	-0.00194962989959946
52.0402708749156	8.6726874612333E-4	0.00220675927173606	-0.0021912959768006	5.75162152079712E-4	-0.00165396516271034	-0.00327996883226268	-0.00358930536927424	-0.0033061429390217	-4.02124571693327E-4	2.41526187401653E-4	-6.11526451966423E-4	-0.00196579300672584
52.079135304607	9.65070196764104E-4	0.00225239949796426	-0.00218463017091535	5.47980575894471E-4	-0.0017037453774422	-0.0032651760249011	-0.00362246812968286	-0.00326299538678161	-3.81525116722025E-4	2.41526187401653E-4	-6.40719161756964E-4	-0.00199632332018677
52.118142605223	0.00105424210764246	0.00227983796730383	-0.00219761095079715	4.94976502333249E-4	-0.00176158858470103	-0.00326181402322802	-0.00362343403532583	-0.00320546531712814	-3.84136315239513E-4	2.14416105142283E-4	-6.45888704115704E-4	-0.00204373510109081
52.1570592261725	0.00113766099201253	0.00229151969187415	-0.00222006419167374	4.26478930346441E-4	-0.00179909902819616	-0.00326719322590496	-0.00359928639425159	-0.00315558552269453	-4.18372029135483E-4	1.74161740575341E-4	-6.32508712128375E-4	-0.00210192228674577
